id,created,updated,ftfg,wd4c,wd4s,wd4p,dacw,hklr,dftg,enct,ludt,wipo,dbat,crtx,cnty,user_id,dfpf_id,wipp_id,dfmu,ccst,exan
1,2020-02-04 12:02:12.333195+00,2020-05-08 20:31:31.370035+01,t,31,181,271,10,,_Latest_,3,_None_,f,,,GBR,1,1,,f,f,t
2,2020-02-04 14:04:20.733235+00,2020-05-08 20:36:39.547785+01,f,31,181,271,10,,_Latest_,3,_None_,f,2treyc3g9vbib01,Demo Hummingbird,GBR,2,1,15,f,f,t
